token_id	speaker	iu_type	iu_id	tu_id	span	form	type	modality	features	align
0-0	SPK7003	undefined	0	_	(Hx)	(Hx)	exhale	_	_	Begin=0.0|End=0.634
1-0	SPK7003	Rising	1	0	көп	көп	linguistic	_	_	Begin=1.802
1-1	SPK7003	Rising	1	0	пе	пе	linguistic	_	_	End=2.407
2-0	SPK7003	undefined	2	0	ашқаның	ашқаның	linguistic	_	_	Begin=2.506|End=3.221
3-0	SPK7002	undefined	3	1	көп	көп	linguistic	_	_	Begin=4.055
3-1	SPK7002	undefined	3	1	емес	емес	linguistic	_	_	End=4.398
4-0	SPK7002	undefined	4	2	менің	менің	linguistic	_	_	Begin=4.398
4-1	SPK7002	undefined	4	2	қараған	қараған	linguistic	_	_	_
4-2	SPK7002	undefined	4	2	затымды	затымды	linguistic	_	_	_
4-3	SPK7002	undefined	4	2	ашып	ашып	linguistic	_	_	_
4-4	SPK7002	undefined	4	2	тұрған	тұрған	linguistic	_	_	End=5.84
5-0	SPK7002	undefined	5	2	жоқ	жоқ	linguistic	_	_	Begin=5.85|End=6.019
6-0	SPK7002	undefined	6	3	басқа	басқа	linguistic	_	_	Begin=6.019
6-1	SPK7002	undefined	6	3	бір	бір	linguistic	_	_	_
6-2	SPK7002	undefined	6	3	нәрсені	нәрсені	linguistic	_	_	_
6-3	SPK7002	undefined	6	3	ашып	ашып	linguistic	_	_	_
6-4	SPK7002	undefined	6	3	тұр	тұр	linguistic	_	_	End=7.508
7-0	SPK7002	undefined	7	4	а:	а	linguistic	_	Prolongation=0	Begin=8.403|End=8.929
8-0	SPK7002	undefined	8	4	иә	иә	linguistic	_	_	Begin=8.929
8-1	SPK7002	undefined	8	4	иә	иә	linguistic	_	_	End=9.229
9-0	SPK7002	undefined	9	6	таңдағаным	таңдағаным	linguistic	_	_	Begin=9.229
9-1	SPK7002	undefined	9	6	көп	көп	linguistic	_	_	End=10.361
10-0	SPK7002	undefined	10	7	мен	мен	linguistic	_	_	Begin=11.034
10-1	SPK7002	undefined	10	7	мына	мына	linguistic	_	_	End=12.003
11-0	SPK7002	undefined	11	7	дәл	дәл	linguistic	_	_	Begin=12.003
11-1	SPK7002	undefined	11	7	қазір	қазір	linguistic	_	_	_
11-2	SPK7002	undefined	11	7	қарап	қарап	linguistic	_	_	_
11-3	SPK7002	undefined	11	7	отырғанымды	отырғанымды	linguistic	_	_	_
11-4	SPK7002	undefined	11	7	сұрап	сұрап	linguistic	_	_	_
11-5	SPK7002	undefined	11	7	отыр	отыр	linguistic	_	_	_
11-6	SPK7002	undefined	11	7	ғой	ғой	linguistic	_	_	_
11-7	SPK7002	undefined	11	7	десем	десем	linguistic	_	_	End=13.84
12-0	SPK7003	undefined	12	_	(Hx)	(Hx)	exhale	_	_	Begin=15.599|End=16.221
13-0	SPK7003	undefined	13	_	(H)	(H)	inhale	_	_	Begin=17.494|End=18.209
14-0	SPK7003	undefined	14	_	(Hx)	(Hx)	exhale	_	_	Begin=18.209|End=19.075
15-0	SPK7001	Rising	15	8	аштың	аштың	linguistic	_	_	Begin=21.597
15-1	SPK7001	Rising	15	8	ба	ба	linguistic	_	_	End=22.597
16-0	SPK7002	undefined	16	9	аштым	аштым	linguistic	_	_	Begin=23.103|End=23.766
17-0	SPK7001	undefined	17	10	мынау	мынау	linguistic	_	_	Begin=24.311
17-1	SPK7001	undefined	17	10	интересное	интересное	linguistic	_	_	End=25.152
18-0	SPK7001	Rising	18	11	да	да	linguistic	_	_	Begin=25.152|End=25.573
19-0	SPK7002	undefined	19	12	жоқ	жоқ	linguistic	_	_	Begin=25.734
19-1	SPK7002	undefined	19	12	осы	осы	linguistic	_	_	_
19-2	SPK7002	undefined	19	12	ғой	ғой	linguistic	_	_	_
19-3	SPK7002	undefined	19	12	менің	менің	linguistic	_	_	_
19-4	SPK7002	undefined	19	12	айтып	айтып	linguistic	_	_	_
19-5	SPK7002	undefined	19	12	отырғаным	отырғаным	linguistic	_	_	End=27.219
20-0	SPK7001	undefined	20	13	тоқсан	тоқсан	linguistic	_	_	Begin=27.516
20-1	SPK7001	undefined	20	13	доллар	доллар	linguistic	_	_	End=29.004
21-0	SPK7001	undefined	21	14	мынау	мынау	linguistic	_	_	Begin=29.004
21-1	SPK7001	undefined	21	14	да	да	linguistic	_	_	_
21-2	SPK7001	undefined	21	14	ничего	ничего	linguistic	_	_	_
21-3	SPK7001	undefined	21	14	так	так	linguistic	_	_	End=30.186
22-0	SPK7002	undefined	22	15	мынаның	мынаның	linguistic	_	_	Begin=37.108
22-1	SPK7002	undefined	22	15	майкасы	майкасы	linguistic	_	_	_
22-2	SPK7002	undefined	22	15	әдемі	әдемі	linguistic	_	_	End=38.176
23-0	SPK7002	undefined	23	15	екен	екен	linguistic	_	_	Begin=38.176|End=38.592
24-0	SPK7001	undefined	24	16	ы:м	ым	linguistic	_	Prolongation=0	Begin=38.482|End=39.288
25-0	SPK7001	undefined	25	17	и	и	linguistic	_	_	Begin=39.413
25-1	SPK7001	undefined	25	17	жеңі	жеңі	linguistic	_	_	_
25-2	SPK7001	undefined	25	17	де	де	linguistic	_	_	End=40.254
26-0	SPK7001	undefined	26	17	қара	қара	linguistic	_	_	Begin=40.254|End=40.788
27-0	SPK7002	undefined	27	18	м:	м	linguistic	_	Prolongation=0	Begin=40.482|End=41.361
28-0	SPK7001	Rising	28	19	күшті	күшті	linguistic	_	_	Begin=40.788
