speaker	span	translation
SPK0026	Алып кет ары қарай.	Take her away.
SPK0023	Мхм.	Yes.
	###	
SPK0024	А—	
SPK0028	SOUNDS_FROM_THROAT	
SPK0024	Ойнатшы кішкене.	Play with her a little.
SPK0026	Байқа,	Be careful, ## something.
	бірдеңе ##.	
SPK0027	Ана жерде жұмсақ ойыншықтар жатыр.	There are stuffed animals there.
	Төсектің үстінде.	On the bed.
	Көрсетші соларды.	Show them to her.
SPK0028	Ойыншықтан көп нәрсе жоқ ###.	There are more toys than anything ###.
SPK0024	Ойнатып,	Learn to play by playing with her.
	үйрете бер.	
	Үйрене бер.	
	Балаң болса,	When you have a kid, you'll teach.
	үйретесің.	
	####.	
SPK0026	Кетші эй.	Don't say that!
	@@	
	Содан кейін?	So then?
SPK0027	(Hx) сөйтіп сол.	That's all.
	Тойдың сондай қызықтары болды.	That's the fun stuff we had at the wedding.
SPK0023	###,	
	туған күн#,	Birthday #...
	болдым болдым.	I finished.
	Туған күні ғой деймін дейді.	He says maybe it is his birthday.
SPK0026	А?	
SPK0023	Таңертең сағат төртте,	I need to go fishing at 4 am in the morning.
	балыққа кету керек маған.	
	¬Бердаққа.	To Berdak's place.
SPK0024	Иә.	Oh.
SPK0026	¬Бердаққа?	To Berdak?
SPK0023	Иә.	Yes.
	#####	
	Анау.	He wakes him up.
	оятады.	
SPK0028	Алло.	Hello.
SPK0026	Мхм.	
SPK0023	Чё-то,	"He says, ""I think he is done""."
	#,	
SPK0028	Я дома.	I am home.
SPK0023	ол,	
	болды ғой деймін дейді.	
SPK0024	Ммм.	Mmm.
SPK0026	Неге.	
	Немене болды.	
SPK0024	¬Бердаққа кетіп бара жатқанда айтады.	He says that when you are about to go to Berdak's.
SPK0023	¬Бердақ,	Berdak..E-e.. Berdak.
	е- е-,	
	¬Бердақ.	
	Мен айтамын қойшы эй өзің.	"I said, ""Stop it please!""."
	Мен бүйтіп,	I turned my back and lay.
	теріс қарап жатып алғанмын.	
SPK0026	Иә.	
SPK0023	Бір күні қайта айналып айтты,	"And one day he came back and said: ""Hey! I think this is over""."
	эй кет- чё-то бітті.	
	Cодан айдап апарды.	Then he took him right away.
	Cодан кейін.	
SPK0024	Берші ананы.	Give me that.
	Әне тряпка.	There is the rag.
SPK0025	Әне: ##.	There is the ##.
SPK0024	#	
SPK0023	Нешеде еді?	When was it?
	#####	
SPK0025	Қойшы.	No.
	Түнімен жатты да,	He laid all night and went the following morning.
	ертеңінде кетті ғой.	
SPK0027	Неменені?	What?
SPK0025	@@@	
SPK0023	Жоқ эй.	No!
	Таңертең апардым ғой.	I took him in the morning.
	Түнде апардым ғой.	I took him at night.
SPK0025	Жоқ.	No.
	Түнде барып,	He went there at night, and he was gone only the following day in the afternoon.
	ертеңінде,	
	түсте бірақ кетті ғой.	
SPK0023	Ңаа.	No.
	###.	
SPK0024	Әкел өзім не ете саламын.	Give it to me, I'll do this myself.
SPK0027	Бар ойнатсаңшы.	Go and play with her.
SPK0028	¬Серікжан ойнатып отыр ғой.	Serikzhan is playing with her.
SPK0027	¬Серікжанға бере салдың иә?	You gave her to Serikzhan, right?
SPK0028	Өзі сұрап алды ғой?	He himself asked for her.
SPK0027	Ммм.	Ok.
SPK0026	Ана,	"This is the way Manat  teaches his children: when we are about to sit for a meal, there are no small children with us at the table. Someone will voluntarily take the child and say ""I will play with the child and let you eat""."
	¬Манаттардың тәрбиесі,	
	міне,	
	шәй ішкей жатырмыз ғой иә,	
	бала жоқ.	
	Балаға біреуге,	
	өзінің еркіменен,	
	мен бала ойната тұрамын,	
	сендер т- тамақтарыңды ішіп алыңдар дейді.	
	Санжар болса Санжар.	Sanzhar could do this.
	Ммм.	Oh.
	Қызы болса қызы.	His daughter could as well take the child.
	Наргиз болса Наргиз.	Nargiz could do this as well.
	(H)	
	COUGHS	
SPK0023	Ооо,	Oh...
	######.	
SPK0026	Балаларын ойнатып,	They play with the children...
	COUGHS	
	жоқ бәріміз бірге отырамыз,	No, all of us are at the table, sitting together with the children.
	балалар бәрі отырады.	
	Сол өз ө- ө-,	"One person among them will rise voluntarily and say: ""I'll take the child and play while you are eating""."
	өзі біреу шығады ішінен.	
	Баланы мен ойната тұрамын деп.	
SPK0024	Мхм	I see.
SPK0023	Мхм.	I see.
SPK0026	Сөйтеді екен.	Apparently, that's how they do.
SPK0023	Аааа.	I see.
SPK0026	Ал,	But the adults do not do this. Manat and Dina, they sit. It is one of their three children who does this.
	үлкендер,	
	не етпейді.	
	¬Манат отырады.	
	Там ¬Дина отырады.	
	А сол ана,	
	үш баланың біреуі.	
	COUGHS	
	Кәдімөскей,	They will sit and casually play with the child.
	ойнатып отыра тұрады.	
SPK0027	Сіз сорпаңызды,	Have you finished your soup already?
	ішіп алдыңыз ба?	
SPK0026	Сөйтеді екен.	This is what they do, apparently.
SPK0024	Содан.	So, then?
SPK0027	А- араластырсаңызшы ананы.	Why don't you stir your soup.
SPK0024	Араластырамын.	I will mix.
SPK0027	Майы қатып қалыпты.	The fat it in got hardened a little.
SPK0026	Ол біледі.	She knows how to drink the soup
	Қалай ішетінін.	
SPK0023	@@	
SPK0026	Біледі ғой.	She knows.
SPK0027	(Hx)	
SPK0026	Араластырып араластарып ішіп ал.	Stir and drink it up.
SPK0023	Келмегелі бір,	I guess it's been around six years since my last visit to this place, right?
	алты жылдай болып қалды ғой деймін иә осы үйге,	
SPK0027	Айтпа деймін.	You don't say.
SPK0023	иә?	
SPK0027	Мен ¬Жанар біздің үйге бірінші рет келіп тұр.	Zhanar came to our place for the first time.
SPK0025	Мен де,	I've never been to this place either.
	келіп,	
	келіп көрген жоқпын.	
	Бірінші рез келіп тұрмын @@	I am here for the first time.
SPK0024	Ааа.	Oh, really?
SPK0023	Лента тарту керек еді,	We should have tied a red ribbon at the door right when we came, yes?
SPK0027	Иә?	Yes.
	Вообще келіп көрген жоқ.	She's never come before.
SPK0023	жаңа иә @@@	
SPK0027	А.	Come again?
SPK0026	Әй.	Hey you, you need to thank me.
	Маған рақмет айт.	
	Мен алып келдім.	It is me who brought them.
SPK0027	Рақмет сізге.	Thank you!
SPK0026	Аха.	Yes.
SPK0025	@@@@	
SPK0027	@@@@@@	
SPK0026	Үйден алып келдім.	I brought them from home.
SPK0024	Маған рақмет	Thank me as well.
SPK0026	Кел-	Your kelin...
	келініңді.	
SPK0024	Тостырып қойдың ғой.	"You made this person wait, saying ""They will come now, they will come now""."
	Қазір келеді,	
	келеді деп.	
	Мына кісіні.	
SPK0026	Мені ме?	Made me wait?
	И сен де звандағаның жақсы болды.	It was good that you called.
	Әйтпесе отыра беруші едім мен.	Otherwise, I would have been sitting at home.
SPK0027	Тух осы,	Ehh, my sister is tired all day now!
SPK0024	Иә.	Yes.
SPK0027	менің апайым да кешке дейін шаршады енді.	
SPK0026	###	
SPK0023	Ңа:	I see.
SPK0027	Жиендерін күткенінен.	Because of looking after her grandchildren.
SPK0025	Мх.	Oh.
SPK0024	Кімдерді күтіп еді.	Whom did she look after?
SPK0027	Апайым.	My sister.
SPK0026	Мм?	Oh?
SPK0027	Қызының төрт баласы бар ғой.	Her daughter's got four children.
	Үш ұл бір қыз бар.	Three boys and one girl.
SPK0024	Мхм.	Mmm.
SPK0027	Бір жерге кеткенде,	Her daughter brings her three sons and leaves them at her place when she leaves for somewhere.
	үш ұлды әкеп,	
	кіргізіп кетеді екен.	
SPK0024	Ааа.	Oh.
SPK0026	Ммм.	Mmm.
SPK0027	Ана қыз кішкентайын,	She takes the little one with her.
	алып кетеді.	
SPK0024	Ал өзінің ұлы,	Doesn't she have her own son?
	жоқ па?	
SPK0027	Ұлдан екі қыз бар.	Her son's got two girls.
	Үйде.	They live with her.
	Өзімен ғой олар.	
	Ұлдан екі қыз,	Two girls from her son. And those three boys are her daughter's.
	анау:,	
	қыздікі.	
	Үш ұл.	
SPK0024	Жоқ.	No.
	Өздерінің,	What I meant is don't they have their own mother, like their grandmother and grandfather?
	шешелері жоқ па деймін.	
	Ата-апалары.	
SPK0027	Вот почему-то ¬Сарқыттардікіне қарай,	For some reason they are drawn to Sarkyt's place.
	тянет соларды.	
SPK0026	¬Сарқыт.	Sarkyt. She herself is...
SPK0027	Барады.	No, they go there.
