token_id	speaker	iu_type	tu_id	span	form	type	modality	features	align
0-0	SPK1133	undefined	0	Қазір	Қазір	linguistic	_		Begin=0.460
0-1	SPK1133	undefined	0	ана	ана	linguistic	_		
0-2	SPK1133	undefined	0	нандарды	нандарды	linguistic	_		End=1.673
1-0	SPK1133	Interrupted	1	ана	ана	linguistic	_		Begin=1.673
1-1	SPK1133	Interrupted	1	іш-	іш	linguistic	_	Interrupted=Yes	End=2.340
2-0	SPK1133	undefined	2	ана	ана	linguistic	_		Begin=2.346|End=2.720
3-0	SPK1133	undefined	3	неге	неге	linguistic	_		Begin=2.720|End=3.193
4-0	SPK1133	Falling	4	қоя	қоя	linguistic	_		Begin=4.013
4-1	SPK1133	Falling	4	салайын	салайын	linguistic	_		End=4.753
5-0	SPK1133	Falling	5	Жинап	Жинап	linguistic	_		Begin=4.760|End=5.340
6-0	SPK1132	Falling	6	Жинай	Жинай	linguistic	_		Begin=5.134
6-1	SPK1132	Falling	6	бер	бер	linguistic	_		End=5.979
7-0	SPK1132	Rising	7	Тамақ	Тамақ	linguistic	_		Begin=7.597
7-1	SPK1132	Rising	7	майлы	майлы	linguistic	_		
7-2	SPK1132	Rising	7	болып	болып	linguistic	_		
7-3	SPK1132	Rising	7	кетіпті	кетіпті	linguistic	_		
7-4	SPK1132	Rising	7	иә	иә	linguistic	_		End=9.637
8-0	SPK1133	undefined	8	Ы	Ы	linguistic	_		Begin=10.420
8-1	SPK1133	undefined	8	ы	ы	linguistic	_		
8-2	SPK1133	undefined	8	не	не	linguistic	_		End=11.086
9-0	SPK1133	Continuing	9	调料	调料	linguistic	_		Begin=11.086
9-1	SPK1133	Continuing	9	-ы	-ы	linguistic	_		
9-2	SPK1133	Continuing	9	көп	көп	linguistic	_		
9-3	SPK1133	Continuing	9	қой	қой	linguistic	_		End=12.126
10-0	SPK1133	Falling	10	сосын	сосын	linguistic	_		Begin=12.126
10-1	SPK1133	Falling	10	біраз	біраз	linguistic	_		
10-2	SPK1133	Falling	10	ауыр	ауыр	linguistic	_		
10-3	SPK1133	Falling	10	келеді	келеді	linguistic	_		End=13.386
11-0	SPK1132	undefined	11	Иә	Иә	linguistic	_		Begin=13.322
11-1	SPK1132	undefined	11	біраз	біраз	linguistic	_		
11-2	SPK1132	undefined	11	####	####	unknown	_		End=16.167
