speaker	span	translation
SPK4001	Секіре алмаймын	I can't jump.
	Бір	How long is it from this place?
	жерден	
	мынау қандай болады	
	Жиырма сантиметр ма	Is this twenty centimeters?
	мынау	
	Жиырма сантиметрге секірсем	If I jump for twenty centimeters, it is okay.
	нормально	
SPK4002	Нет это больше	No, it's longer or twenty two.
	или двадцать два	
SPK4001	Ну солай жиырмаға шамалы	Yes, around twenty.
SPK4002	Солай иә	Yes, like that.
SPK4001	Спорт	"Well, if we say ""sport"" , what if we go to beach, near the shore if we find a place, for example."
	спорт дегенде	
	пляжға барсақ	
	мысалы судың жағасына	
	бір жерге	
	тапсақ баратын жер	
	Волейбольный	We can play voleyball with a ball.
	доп алып	
	ойнауға болады ғой	
SPK4002	Мхм	Mhm
SPK4001	Екі	Secondly, we can merge two plans.
	Мысалы екі планды қосып жіберіп	
	дейтін сияқты	
	Настольный теннистің	Table tennis..
	ААА	
	Біздің жақта десятый микрорайон бар ғой	You know the Tenth neighbourhood?
	сонда	There, there are new table tennis tables (facilities).
	үйлердің	
	жанында нелер бар ғой	
	новыйдан салынған	
	Настольный теннистің	
	столдары бар	
SPK4002	мхм	mhm
SPK4001	ммм	
	Олардың	They have a net in the middle, right?
	ортасында тұратын	
	сеткасы болады ғой	
	Ондайы жоқ сияқты	Apparently, they don't have them.
	ммм	
SPK4002	Қай жақта дейсің	Where are they, you saying?
SPK4001	и біздің жақта новый район салынды ғой	Well, the new neighborhood was built near us, right?
	¬Диананың үйінің жанындағы	Those houses in front of the ¬Diana's house side.
SPK4002	ААА	AAA, yes, yes, yes.
SPK4001	алдындағы үйлер	
SPK4002	иә иә иә	
SPK4001	Вот	Well, last year there were new tables, this year, mm, I don't know how are they after the winter.
	Сол жерлерде	
	енді былтыр новый болды ол	
	столдар	
	Биыл	
	ммм	
	қыстан кейін	
	қандай екенін білмеймін	
	Назар аудармадым ондайға	I have not paid attention to it.
SPK4002	иә	Yes.
SPK4001	МММ	
	Менің	My brother's son goes to, what I have said, to pingpong classes.
	ағамның баласы:	
	неге барады ғой	
	сол пи нгпонгтан	
	айттым ғой	
SPK4002	иә иә	Yes, yes.
SPK4001	үйірмеге барады	
	Ол	He bought two tennis rackets.
	екі ракетка алды	
	Басында біреуін алды	At first, he bought one, later after saying it was not good, he bought more expensive one.
	сосын	
	ол онша емес дегесін	
	кішкене қымбаттауын алды	
	Ана	I am going to take the first one to play when I go to the university.
	басында біріншісін	
	мен алайын деп отырмын	
	университетке барғанда	
	ойнауға	
SPK4002	мхм	mhm
SPK4001	Ойнамасам біреуге сатып жіберемін	If I don't play, I don't know, I am going to sell at more expensive price to someone
	білмеймін	
SPK4002	иә иә	Yes, yes.
SPK4001	Қымбаттырақ	
	Соны сұрап алып	I can ask that and later find it in another place, right?
	сосын тағы бір жерден табуға	
	болатын шығар да	
SPK4002	Нені	What? That table?
	Сол	
	столды ма	
SPK4001	Ракетка	Racket, racket.
	ракетка	
SPK4002	А ракетка иә	Aah, racket, sure.
SPK4001	Ракетка болса	If there is a racket in our house, there is its small ball too.
	біздің үйде	
	добы да бар сияқты	
	кішкентай	
	Анда өзіміз ойнай бере аламыз ғой	We can play there by ourselves.
SPK4002	Күшті екен	So good.
SPK4001	иә ###	Yes...
	GASP	
	Сумкасын көріп тұрсың ба	Do you see her bag?
SPK4002	иә	Yes.
SPK4001	Ойыншықтың несін	"That toy's.., ""Stray Kids."""
SPK4002	Ана не ғой	Is it that..?
SPK4001	Стрей кидс	
SPK4002	иә	Yes.
	Банчандікі	Banchan's?
SPK4001	иә	Yes, so good.
SPK4002	Офигеть	Wow.
SPK4001	Күшті екен	
SPK4002	Еще үсті мынандай	Also the front of it is like this, like a model
	модель сияқты прям	
SPK4001	иә	Yes.
SPK4002	Күшті күшті	Good, good, something was like a piece by piece.
	кусок кусок болыпты	
	бірдеңе	
SPK4001	Мына жерге отырғың келмейді ма	Don't you want to sit here, on the chair
SPK4002	Жоқ:	No, it's just the owner is going there
SPK4001	отырғышқа	
SPK4002	Анда хозяйка жүр	
	просто	
SPK4001	Мына жерге отырсаң ше	What if you sit here?
SPK4002	Ей ладно	Well, just sit, there is nothing bad about it.
