token_id	speaker	iu_type	iu_id	tu_id	span	form	type	modality	features	align
0-0	SPK0032	Rising	0	0	Қандай	Қандай	linguistic	_	_	Begin=0.0
0-1	SPK0032	Rising	0	0	суық	суық	linguistic	_	_	_
0-2	SPK0032	Rising	0	0	иә?	иә	linguistic	_	_	End=1.088
1-0	SPK0031	Falling	1	1	Холодильникте	Холодильникте	linguistic	_	_	Begin=1.39
1-1	SPK0031	Falling	1	1	қойып	қойып	linguistic	_	_	_
1-2	SPK0031	Falling	1	1	қойыпты.	қойыпты	linguistic	_	_	End=3.088
2-0	SPK0032	Falling	2	2	Еее.	Еее	linguistic	_	_	Begin=1.92|End=2.974
3-0	SPK0031	undefined	3	_	DRINKS_BEVERAGE	DRINKS_BEVERAGE	linguistic	_	_	Begin=3.487|End=10.594
4-0	SPK0032	Falling	4	3	Бір	Бір	linguistic	_	_	Begin=10.673
4-1	SPK0032	Falling	4	3	пұшықай	пұшықай	linguistic	_	_	_
4-2	SPK0032	Falling	4	3	туыпты.	туыпты	linguistic	_	_	End=11.96
5-0	SPK0031	Falling	5	4	Бір	Бір	linguistic	_	_	Begin=11.534
5-1	SPK0031	Falling	5	4	екі.	екі	linguistic	_	_	End=12.523
6-0	SPK0031	Continuing	6	5	Екі	Екі	linguistic	_	_	Begin=13.072
6-1	SPK0031	Continuing	6	5	ұлы	ұлы	linguistic	_	_	_
6-2	SPK0031	Continuing	6	5	бар	бар	linguistic	_	_	_
6-3	SPK0031	Continuing	6	5	екен,	екен	linguistic	_	_	End=14.33
7-0	SPK0031	Falling	7	5	құдай-а:у.	құдай-ау	linguistic	_	Prolongation=6	Begin=14.33|End=15.07
8-0	SPK0031	Falling	8	6	Бұттары	Бұттары	linguistic	_	_	Begin=15.937
8-1	SPK0031	Falling	8	6	жалаңаш.	жалаңаш	linguistic	_	_	End=17.05
9-0	SPK0031	Falling	9	6	Топырақта	Топырақта	linguistic	_	_	Begin=18.299
9-1	SPK0031	Falling	9	6	ойнап	ойнап	linguistic	_	_	_
9-2	SPK0031	Falling	9	6	жүр.	жүр	linguistic	_	_	End=19.218
10-0	SPK0031	Interrupted	10	7	Құдай-ау	Құдай-ау	linguistic	_	_	Begin=19.218
10-1	SPK0031	Interrupted	10	7	баяғ—	баяғ—	linguistic	_	Interrupted=Yes	End=20.47
11-0	SPK0032	Falling	11	8	Жалаң	Жалаң	linguistic	_	_	Begin=19.565
11-1	SPK0032	Falling	11	8	аяқ.	аяқ	linguistic	_	_	End=20.518
12-0	SPK0031	Falling	12	9	баяғыда	баяғыда	linguistic	_	_	Begin=20.47
12-1	SPK0031	Falling	12	9	##.	##	unknown	_	_	End=21.358
13-0	SPK0031	Falling	13	10	Дұрыс	Дұрыс	linguistic	_	_	Begin=21.358
13-1	SPK0031	Falling	13	10	әкри	әкри	linguistic	_	_	_
13-2	SPK0031	Falling	13	10	#—	#—	linguistic	_	Interrupted=Yes	End=22.568
14-0	SPK0032	Rising	14	11	Иә?	Иә	linguistic	_	_	Begin=21.518|End=21.998
15-0	SPK0032	Falling	15	12	Аяқ-киім	Аяқ-киім	linguistic	_	_	Begin=22.19
15-1	SPK0032	Falling	15	12	кимейді	кимейді	linguistic	_	_	_
15-2	SPK0032	Falling	15	12	дейді.	дейді	linguistic	_	_	End=23.731
16-0	SPK0031	Falling	16	13	Дұрыс	Дұрыс	linguistic	_	_	Begin=23.968
16-1	SPK0031	Falling	16	13	екен.	екен	linguistic	_	_	End=24.583
17-0	SPK0031	Falling	17	14	Оны	Оны	linguistic	_	_	Begin=25.924
17-1	SPK0031	Falling	17	14	көрдім.	көрдім	linguistic	_	_	End=26.538
18-0	SPK0031	Falling	18	14	Әшейін	Әшейін	linguistic	_	_	Begin=26.538
